               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,metrics/Stop Sign_mAP,metrics/Traffic Signal_mAP,metrics/Stop Sign_mAP_50,metrics/Traffic Signal_mAP_50
                   0,             0.10772,            0.030198,            0.022302,              0.2664,             0.17898,             0.16518,            0.064341,             0.07712,             0.01342,            0.056204,             0.07075,             0.00325,             0.00325,             0.12668,           0.0020001,             0.31875,            0.011612
                   1,            0.079021,            0.024632,           0.0076685,              0.2506,             0.33523,              0.1751,            0.056295,             0.07263,            0.012185,            0.071634,             0.04062,            0.006453,            0.006453,            0.090133,            0.022458,             0.26034,            0.089846
                   2,            0.076596,            0.021575,           0.0047592,             0.51552,             0.24432,             0.26588,             0.11401,            0.062515,           0.0097885,            0.067548,            0.010357,            0.009524,            0.009524,             0.18687,            0.041146,             0.39235,             0.13942
                   3,            0.069466,            0.019891,           0.0038497,             0.35613,             0.39205,             0.24485,            0.098192,            0.067298,           0.0075078,            0.066464,            0.009406,            0.009406,            0.009406,             0.14004,            0.056347,             0.31192,             0.17778
                   4,            0.062481,            0.018161,           0.0030207,             0.47326,             0.43466,             0.34259,             0.16614,            0.052232,           0.0076745,            0.067313,            0.009406,            0.009406,            0.009406,             0.27249,            0.059786,             0.51822,             0.16695
                   5,            0.056992,            0.018277,           0.0026338,              0.4398,             0.40341,             0.34096,             0.17966,            0.048257,           0.0067475,            0.067004,            0.009208,            0.009208,            0.009208,             0.28716,            0.072158,             0.50946,             0.17246
                   6,            0.054584,            0.017099,           0.0023734,             0.53918,             0.57955,             0.39062,             0.20571,             0.04255,           0.0069804,            0.069156,             0.00901,             0.00901,             0.00901,             0.32726,            0.084172,             0.55728,             0.22396
                   7,            0.052337,            0.016004,           0.0017988,             0.49159,             0.52841,             0.38799,             0.19723,            0.044482,           0.0063939,            0.068735,            0.008812,            0.008812,            0.008812,             0.29433,             0.10014,              0.5604,             0.21557
                   8,            0.049686,            0.016346,           0.0019255,             0.44395,             0.52841,             0.40756,             0.24167,            0.039096,           0.0063744,            0.068213,            0.008614,            0.008614,            0.008614,              0.3851,            0.098248,             0.60087,             0.21424
                   9,            0.047827,            0.016028,           0.0019158,             0.53908,             0.51705,             0.43432,             0.23097,            0.035784,           0.0065594,            0.067838,            0.008416,            0.008416,            0.008416,              0.3575,             0.10444,             0.64188,             0.22676
                  10,            0.045847,            0.015427,           0.0016785,             0.64353,             0.52841,             0.45386,             0.24943,            0.042637,           0.0063977,            0.074677,            0.008218,            0.008218,            0.008218,             0.37914,             0.11972,             0.61806,             0.28967
                  11,            0.046312,            0.014982,           0.0015932,             0.62987,             0.62216,             0.50062,             0.27642,            0.034458,           0.0055602,             0.06779,             0.00802,             0.00802,             0.00802,             0.42378,             0.12906,             0.69044,              0.3108
                  12,            0.044202,            0.015242,            0.001603,             0.63531,             0.65341,             0.50677,             0.29492,             0.03482,           0.0055952,            0.069322,            0.007822,            0.007822,            0.007822,             0.44534,             0.14451,              0.7029,             0.31064
                  13,            0.043124,            0.015207,           0.0013617,             0.60517,             0.64205,             0.48486,             0.29047,            0.032852,           0.0057011,            0.070195,            0.007624,            0.007624,            0.007624,             0.40334,             0.17761,             0.63893,             0.33078
                  14,            0.043029,            0.015204,           0.0013671,             0.63875,             0.66134,             0.51637,             0.30008,            0.035297,           0.0058632,            0.073112,            0.007426,            0.007426,            0.007426,              0.4683,             0.13187,             0.76048,             0.27225
                  15,            0.041869,            0.014677,           0.0010357,             0.61803,             0.59091,             0.51002,             0.29069,            0.039699,           0.0057869,            0.071823,            0.007228,            0.007228,            0.007228,             0.43262,             0.14876,             0.69504,             0.32499
                  16,            0.040591,            0.015128,           0.0012337,             0.62809,             0.57955,             0.50575,             0.29229,            0.036658,           0.0056757,            0.074466,             0.00703,             0.00703,             0.00703,             0.44907,             0.13551,             0.72589,             0.28561
                  17,            0.039757,            0.014145,           0.0010569,             0.62273,             0.51586,              0.4824,             0.28931,            0.042764,           0.0057056,            0.076294,            0.006832,            0.006832,            0.006832,             0.41837,             0.16025,             0.68284,             0.28196
                  18,            0.039245,            0.014231,           0.0010798,             0.67007,             0.62076,             0.52252,             0.30564,            0.037197,           0.0056193,              0.0787,            0.006634,            0.006634,            0.006634,             0.43388,             0.17739,             0.71743,              0.3276
                  19,            0.037411,            0.013926,          0.00094602,             0.68154,             0.59194,             0.53875,             0.30677,            0.038119,           0.0053719,            0.080554,            0.006436,            0.006436,            0.006436,             0.43136,             0.18219,             0.70794,             0.36957
                  20,            0.037648,            0.014439,           0.0010288,              0.6409,             0.69307,             0.51296,              0.2928,            0.034833,           0.0057955,            0.075049,            0.006238,            0.006238,            0.006238,             0.44289,              0.1427,             0.73598,             0.28993
                  21,            0.037511,             0.01386,          0.00076664,             0.69371,             0.68885,             0.57295,             0.34481,            0.033911,           0.0049844,            0.077637,             0.00604,             0.00604,             0.00604,             0.49215,             0.19747,             0.77126,             0.37463
                  22,             0.03602,            0.014021,          0.00092154,             0.67807,              0.6391,              0.5568,             0.36255,            0.029058,           0.0051134,            0.079189,            0.005842,            0.005842,            0.005842,              0.5137,              0.2114,              0.7453,              0.3683
                  23,            0.036061,            0.013807,          0.00074191,             0.65956,             0.62916,             0.56456,             0.33483,            0.036617,           0.0053811,            0.079697,            0.005644,            0.005644,            0.005644,             0.50698,             0.16267,             0.79413,             0.33498
                  24,            0.036233,            0.013796,          0.00068447,             0.65501,             0.63352,             0.54956,             0.33765,            0.034997,           0.0052309,            0.080601,            0.005446,            0.005446,            0.005446,             0.50636,             0.16895,             0.79719,             0.30193
                  25,            0.034762,            0.012928,          0.00088245,             0.63287,             0.66477,             0.54349,             0.35708,            0.029227,           0.0057862,            0.081549,            0.005248,            0.005248,            0.005248,             0.51746,             0.19671,             0.78727,             0.29972
                  26,            0.035012,            0.012872,          0.00065085,             0.66366,             0.63352,             0.55372,             0.37651,            0.026682,           0.0054679,            0.079309,             0.00505,             0.00505,             0.00505,             0.53438,             0.21864,             0.77556,             0.33188
